state,state_fips,county,county_fips,2015,2016,2017,2018,2019,2020,2021
Alabama,1,Autauga,1001,,,,,,12.1,
Alabama,1,Baldwin,1003,,,,,34.34,1,
Alabama,1,Barbour,1005,,,,,36,,
Alabama,1,Bullock,1011,,,,,2,1,
Alabama,1,Calhoun,1015,,,,,,1.66,
Alabama,1,Chambers,1017,,,,,,14,
Alabama,1,Cherokee,1019,,,,,,5,
Alabama,1,Choctaw,1023,,,,,,7,
Alabama,1,Coffee,1031,,,,,48.1,42.58,
Alabama,1,Cullman,1043,,,,,,10,
Alabama,1,De Kalb,1049,,,,,,1,
Alabama,1,Escambia,1053,,,,,,5.5,0.6
Alabama,1,Fayette,1057,,,,,,57.11,60
Alabama,1,Geneva,1061,,,,,332.78,319.16,66
Alabama,1,Henry,1067,,,,,5,7.5,
Alabama,1,Houston,1069,,,,,,10,
Alabama,1,Jackson,1071,,,,,5,15.98,
Alabama,1,Lauderdale,1077,,,,,12.6,,
Alabama,1,Lawrence,1079,,,,,4.5,5,
Alabama,1,Lowndes,1085,,,,,33.61,1,
Alabama,1,Madison,1089,,,,,429.7,414.7,22
Alabama,1,Marion,1093,,,,,,3,
Alabama,1,Mobile,1097,,,,,,8,
Alabama,1,Monroe,1099,,,,,7.1,5,
Alabama,1,Montgomery,1101,,,,,,160,20
Alabama,1,Pickens,1107,,,,,38.75,,
Alabama,1,Pike,1109,,,,,,0.05,
Alabama,1,Shelby,1117,,,,,1.5,,
Alabama,1,Talladega,1121,,,,,,1,
Alabama,1,Wilcox,1131,,,,,33.26,71,13.6
Arizona,4,Graham,4009,,,,,103.8,203.74,
Arizona,4,Maricopa,4013,,,,,,106.96,
Arizona,4,Pinal,4021,,,,,760.26,1.5,1.75
Arizona,4,Yuma,4027,,,,,0,385.29,13.78
Arkansas,5,Ashley,5003,,,,,22,2,
Arkansas,5,Benton,5007,,,,,,5.17,
Arkansas,5,Carroll,5015,,,,,,1.25,3
Arkansas,5,Chicot,5017,,,,,7.5,3,
Arkansas,5,Clark,5019,,,,,,,118.4
Arkansas,5,Cleveland,5025,,,,,,6.7,
Arkansas,5,Conway,5029,,,,,,33.88,
Arkansas,5,Craighead,5031,,,,,,150.41,99.01
Arkansas,5,Crittenden,5035,,,,,,3.06,
Arkansas,5,Cross,5037,,,,,35.1,18.2,
Arkansas,5,Desha,5041,,,,,34.87,1.5,
Arkansas,5,Drew,5043,,,,,3,,
Arkansas,5,Faulkner,5045,,,,,,33.5,3.25
Arkansas,5,Franklin,5047,,,,,,1,
Arkansas,5,Jefferson,5069,,,,,197.9,180.08,28.24
Arkansas,5,Lawrence,5075,,,,,,,5
Arkansas,5,Lee,5077,,,,,,3,
Arkansas,5,Lincoln,5079,,,,,16.3,,
Arkansas,5,Lonoke,5085,,,,,30.23,0.5,8.5
Arkansas,5,Madison,5087,,,,,,2,
Arkansas,5,Marion,5089,,,,,,11,
Arkansas,5,Mississippi,5093,,,,,,20,
Arkansas,5,Monroe,5095,,,,,9,6,
Arkansas,5,Perry,5105,,,,,,5,
Arkansas,5,Pike,5109,,,,,,,0.025
Arkansas,5,Pope,5115,,,,,,1.83,2
Arkansas,5,Prairie,5117,,,,,17.7,15.9,0
Arkansas,5,Pulaski,5119,,,,,,6,
Arkansas,5,Saline,5125,,,,,,,1
Arkansas,5,Sharp,5135,,,,,,10,
Arkansas,5,St Francis,5123,,,,,,1,
Arkansas,5,Washington,5143,,,,,,7.5,4
Arkansas,5,White,5145,,,,,2,,
Arkansas,5,Woodruff,5147,,,,,52.48,,0.31
Arkansas,5,Yell,5149,,,,,52,,
California,6,Butte,6007,,,,,147.09,,18.18
California,6,Fresno,6019,,,,,24.98,362.5,160.12
California,6,Imperial,6025,,,,,244.71,1485.05,20.57
California,6,Kern,6029,,,,,509.2,45,8
California,6,Kings,6031,,,,,137.88,,
California,6,Madera,6039,,,,,,,2
California,6,Modoc,6049,,,,,19,5,
California,6,Plumas,6063,,,,,,15,4.58
California,6,San Diego,6073,,,,,,,0.12
California,6,San Joaquin,6077,,,,,,,32.9
California,6,San Luis Obispo,6079,,,,,,,8
California,6,Siskiyou,6093,,,,,71.6,,
California,6,Solano,6095,,,,,313.35,,
California,6,Sonoma,6097,,,,,,,11.57
California,6,Sutter,6101,,,,,,18.03,22.47
California,6,Ventura,6111,,,,,,,34.4
Colorado,8,Adams,8001,,,,,101,87,
Colorado,8,Alamosa,8003,,45,120,,1463.5,1458.15,
Colorado,8,Arapahoe,8005,2.1,,80,110.39,96.88,116.62,124.65
Colorado,8,Baca,8009,,,,,,659.16,1909.38
Colorado,8,Bent,8011,,,,,,294.74,
Colorado,8,Boulder,8013,,,22.06,22.06,326.2,25,23.34
Colorado,8,Cheyenne,8017,,272,240,,530.5,903.58,
Colorado,8,Conejos,8021,,,,120,98.7,30,
Colorado,8,Costilla,8023,,1,,,60,,
Colorado,8,Crowley,8025,4,50.01,3,9.32,150.23,77.67,4.96
Colorado,8,Delta,8029,,,,88.74,574.57,64.9,
Colorado,8,Dolores,8033,,,,,,34.14,9
Colorado,8,Douglas,8035,,,,,,3.5,
Colorado,8,Elbert,8039,,,,45.8,,2,
Colorado,8,Garfield,8045,,,,106.83,106.83,169.23,
Colorado,8,Kiowa,8061,,,,,123.14,243.17,4569.45
Colorado,8,Kit Carson,8063,,,120,343.37,1406.67,130,
Colorado,8,Larimer,8069,,,20,,1199.25,235.4923,32.86
Colorado,8,Lincoln,8073,,,,,572.78,,
Colorado,8,Logan,8075,,161,26.8,684.49,13.5,69.93,26.33
Colorado,8,Mesa,8077,,,,12,159.32,53.93,16.11
Colorado,8,Montezuma,8083,,,8.91,,30,,
Colorado,8,Montrose,8085,,,61.2,250.04,1649.61,652.21,151.64
Colorado,8,Morgan,8087,,71.81,,,276.57,97,21
Colorado,8,Otero,8089,140.83,112.19,236.52,426.3,948.39,463.682,33.06
Colorado,8,Phillips,8095,,,,,1304.86,0,
Colorado,8,Prowers,8099,,,,0,,1329.56,
Colorado,8,Pueblo,8101,,,,,348.07,92.18,
Colorado,8,Rio Grande,8105,,179.35,120,320,436.8,90,15
Colorado,8,Saguache,8109,,3,9.81,295,4306.35,1503.08,70
Colorado,8,Sedgwick,8115,,,,260,486,156.8,
Colorado,8,Washington,8121,,123,204.42,738.28,689.74,77.89,
Colorado,8,Weld,8123,314.72,700.34,763.36,322.77,1287.73,221.24,
Colorado,8,Yuma,8125,8,374.3,475,1406.4,2151.97,356.7,7.3
Connecticut,9,Fairfield,9001,,,,,,,2.6838
Connecticut,9,Hartford,9003,,,,,,,2.5
Connecticut,9,Litchfield,9005,,,,,,,6.1
Connecticut,9,New Haven,9009,,,,,,0.54,1.3635
Connecticut,9,New London,9011,,,,,,1.4695,0.474
Connecticut,9,Tolland,9013,,,,,,15.94,
Connecticut,9,Windham,9015,,,,,,0.8,
Delaware,10,Kent,10001,,,,,10,,
Delaware,10,New Castle,10003,,,,,,,5.016
Delaware,10,Sussex,10005,,,,,5,1,1.32
Florida,12,Alachua,12001,,,,,,,24.12
Florida,12,Dixie,12029,,,,,,74.58,
Florida,12,Hamilton,12047,,,,,,112.21,
Florida,12,Hillsborough,12057,,,,,,0.04,10
Florida,12,Jackson,12063,,,,,,,12.52
Florida,12,Polk,12105,,,,,,5.45,
Florida,12,Santa Rosa,12113,,,,,,,1.5
Florida,12,Seminole,12117,,,,,,0.21,
Georgia,13,Appling,13001,,,,,,6.135,7.1
Georgia,13,Atkinson,13003,,,,,,1.75,3.8
Georgia,13,Baker,13007,,,,,,0.75,
Georgia,13,Bartow,13015,,,,,,1.9382,0.7687
Georgia,13,Brooks,13027,,,,,,50.074,
Georgia,13,Candler,13043,,,,,,4,8.0034
Georgia,13,Chattooga,13055,,,,,,1,2.74
Georgia,13,Cherokee,13057,,,,,,1.5,
Georgia,13,Clayton,13063,,,,,,2,
Georgia,13,Coffee,13069,,,,,,22.25,1.1
Georgia,13,Colquitt,13071,,,,,,46,3
